User_Type,Fabric_Length,Fabric_Width,Piece_Length,Piece_Width,Fabric_Type,GSM,Defect_Count,Marker_Efficiency,Layout_Type,Pieces_Along_Length,Pieces_Along_Width,Pieces_Possible,Waste_Percentage,Utilization_Percentage,Efficiency_Level
Factory,151.03,44.94,1.87,16.4,Cotton,246,5,72.99,Rotated,80,2,116,34.47,65.53,Poor
Tailor,9.59,38.48,1.2,15.65,Denim,183,1,83.83,Grid,7,2,11,21.79,78.21,Moderate
Factory,382.81,44.73,1.05,29.44,Polyester,287,8,89.01,Grid,364,1,323,25.04,74.96,Moderate
Tailor,3.1,48.47,1.76,27.54,Denim,100,10,79.41,Rotated,1,1,0,38.0,62.0,Poor
Tailor,4.78,70.6,1.96,12.85,Denim,123,0,93.03,Rotated,2,5,9,13.57,86.43,Good
Factory,488.55,39.06,0.64,12.67,Silk,119,9,84.2,Staggered,763,3,1927,25.01,74.99,Moderate
Factory,167.45,47.34,1.7,24.01,Denim,181,7,76.8,Grid,98,1,75,38.0,62.0,Poor
Tailor,2.4,41.92,1.2,18.13,Denim,297,3,81.3,Staggered,2,2,3,28.22,71.78,Moderate
Tailor,8.27,46.95,1.56,22.07,Polyester,183,2,72.28,Grid,5,2,7,30.58,69.42,Poor
Tailor,7.09,45.37,1.99,10.62,Silk,215,8,88.7,Grid,3,4,10,19.49,80.51,Good
Tailor,2.09,38.22,1.67,14.45,Polyester,202,5,87.16,Rotated,1,2,1,24.94,75.06,Moderate
Tailor,1.2,38.32,1.85,18.87,Polyester,123,5,73.06,Staggered,0,2,0,38.0,62.0,Poor
Factory,419.76,50.22,0.54,23.66,Polyester,190,3,92.71,Staggered,777,2,1440,12.07,87.93,Good
Tailor,6.53,58.21,1.47,19.98,Silk,115,1,76.99,Grid,4,2,6,32.73,67.27,Poor
Tailor,6.68,64.88,1.69,29.79,Denim,222,8,89.54,Staggered,3,2,5,21.1,78.9,Moderate
Factory,171.7,36.94,1.4,10.59,Denim,114,7,83.24,Rotated,122,3,304,26.24,73.76,Moderate
Tailor,3.23,44.68,1.3,25.82,Cotton,295,3,84.39,Staggered,2,1,1,25.87,74.13,Moderate
Tailor,2.58,57.33,1.71,23.95,Cotton,280,5,93.69,Rotated,1,2,1,18.22,81.78,Good
Factory,293.96,42.32,0.56,11.12,Polyester,105,8,81.95,Staggered,524,3,1288,26.9,73.1,Moderate
Tailor,4.07,42.39,1.7,27.36,Cotton,105,2,84.67,Grid,2,1,1,26.37,73.63,Moderate
Factory,482.25,49.45,1.91,17.91,Cotton,186,4,78.07,Grid,252,2,393,31.72,68.28,Poor
Factory,342.13,42.27,1.95,23.87,Denim,157,10,84.72,Grid,175,1,148,28.02,71.98,Moderate
Factory,107.31,62.24,1.92,28.97,Silk,297,9,70.81,Rotated,55,2,77,38.0,62.0,Poor
Tailor,6.76,39.75,1.24,16.62,Cotton,160,5,94.56,Grid,5,2,9,14.89,85.11,Good
Factory,250.98,45.55,0.87,11.36,Denim,127,0,71.2,Staggered,288,4,820,33.48,66.52,Poor
Factory,271.89,49.63,1.32,12.03,Silk,247,10,88.96,Grid,205,4,729,17.56,82.44,Good
Tailor,3.65,47.47,1.93,11.48,Polyester,196,2,88.3,Rotated,1,4,3,24.47,75.53,Moderate
Factory,317.31,58.09,1.22,10.62,Polyester,255,6,73.93,Grid,260,5,961,34.07,65.93,Poor
Factory,363.74,61.99,1.59,15.31,Denim,176,3,72.4,Staggered,228,4,660,31.38,68.62,Poor
Tailor,1.49,36.14,0.63,26.48,Silk,151,1,70.64,Grid,2,1,1,38.0,62.0,Poor
Factory,429.7,47.1,1.1,19.78,Denim,123,10,83.6,Grid,390,2,652,26.72,73.28,Moderate
Tailor,5.01,45.48,1.2,14.52,Denim,244,0,73.78,Rotated,4,3,8,28.14,71.86,Moderate
Factory,413.68,50.9,1.63,14.55,Cotton,199,8,80.47,Rotated,253,3,610,28.4,71.6,Moderate
Tailor,5.29,38.84,1.85,24.29,Polyester,130,7,74.32,Grid,2,1,1,38.0,62.0,Poor
Tailor,1.38,38.82,1.52,14.04,Polyester,252,4,77.99,Rotated,0,2,0,36.31,63.69,Poor
Factory,300.36,55.87,1.78,20.39,Cotton,279,9,84.69,Staggered,168,2,284,25.43,74.57,Moderate
Tailor,9.32,56.26,0.65,15.72,Denim,205,4,79.58,Staggered,14,3,33,28.98,71.02,Moderate
Tailor,3.48,41.18,1.41,23.87,Cotton,201,5,87.26,Grid,2,1,1,26.81,73.19,Moderate
Factory,59.1,65.43,0.95,15.61,Silk,278,10,72.46,Grid,62,4,179,38.0,62.0,Poor
Factory,398.31,47.55,1.59,22.1,Cotton,148,7,75.28,Staggered,250,2,376,30.11,69.89,Poor
Factory,419.46,54.55,0.74,16.22,Silk,134,8,91.98,Grid,566,3,1561,17.47,82.53,Good
Tailor,8.53,44.98,1.18,28.36,Polyester,170,5,90.59,Rotated,7,1,6,19.16,80.84,Good
Tailor,3.18,53.6,1.17,29.21,Silk,250,8,78.74,Grid,2,1,1,38.0,62.0,Poor
Tailor,3.57,49.92,0.74,21.45,Polyester,156,10,75.63,Grid,4,2,6,36.67,63.33,Poor
Tailor,8.78,70.82,1.52,19.48,Polyester,265,2,85.03,Grid,5,3,12,22.1,77.9,Moderate
Factory,370.73,61.54,0.91,27.91,Denim,217,4,75.46,Staggered,407,2,614,30.52,69.48,Poor
Factory,313.02,36.26,2.0,29.33,Denim,243,10,84.84,Staggered,156,1,132,24.07,75.93,Moderate
Tailor,4.03,45.95,0.99,15.54,Denim,148,2,82.93,Grid,4,2,6,29.58,70.42,Moderate
Factory,347.24,60.51,1.58,23.11,Denim,166,6,80.11,Rotated,219,2,350,28.07,71.93,Moderate
Tailor,4.09,61.68,1.53,22.77,Silk,271,5,82.68,Grid,2,2,3,33.0,67.0,Poor
Tailor,3.64,52.95,1.61,24.5,Polyester,274,5,86.36,Grid,2,2,3,25.46,74.54,Moderate
Factory,239.21,67.93,1.06,21.71,Silk,130,7,71.34,Rotated,225,3,481,36.92,63.08,Poor
Tailor,5.25,43.0,0.68,23.61,Denim,205,0,91.77,Grid,7,1,6,17.25,82.75,Good
Factory,494.24,68.14,1.98,12.86,Polyester,299,1,82.19,Rotated,249,5,1023,21.81,78.19,Moderate
Tailor,1.04,45.85,1.64,13.37,Polyester,225,1,73.24,Staggered,0,3,0,38.0,62.0,Poor
Factory,222.49,37.36,0.8,17.46,Cotton,182,8,74.76,Rotated,278,2,415,30.52,69.48,Poor
Tailor,7.24,48.4,0.69,17.67,Denim,142,1,90.6,Staggered,10,2,18,16.73,83.27,Good
Factory,245.15,60.72,0.7,29.92,Silk,191,3,74.12,Staggered,350,2,518,30.3,69.7,Poor
Tailor,2.9,36.79,1.26,12.46,Cotton,196,10,76.39,Rotated,2,2,3,38.0,62.0,Poor
Tailor,6.96,59.53,0.53,23.79,Silk,213,6,73.09,Staggered,13,2,19,35.17,64.83,Poor
Tailor,3.71,59.82,1.49,15.4,Polyester,207,1,82.79,Rotated,2,3,4,26.53,73.47,Moderate
Tailor,5.48,57.92,1.67,26.63,Polyester,191,6,77.38,Grid,3,2,4,30.54,69.46,Poor
Factory,198.77,36.1,1.51,28.14,Silk,138,1,89.49,Grid,131,1,117,16.82,83.18,Good
Factory,339.95,52.44,1.97,15.28,Cotton,125,2,91.85,Staggered,172,3,473,12.41,87.59,Good
Factory,382.34,39.42,1.64,10.92,Polyester,269,10,74.26,Staggered,233,3,519,37.57,62.43,Poor
Factory,445.31,39.35,1.72,13.66,Silk,202,7,76.8,Staggered,258,2,396,35.37,64.63,Poor
Factory,341.98,64.69,0.67,23.92,Cotton,140,1,80.4,Rotated,510,2,820,25.49,74.51,Moderate
Factory,131.57,49.67,1.04,10.58,Polyester,223,7,72.82,Staggered,126,4,367,34.53,65.47,Poor
Factory,55.56,67.26,1.29,24.87,Polyester,271,5,82.98,Rotated,43,2,71,26.0,74.0,Moderate
Tailor,5.34,59.89,1.46,12.97,Cotton,102,10,93.36,Rotated,3,4,11,18.86,81.14,Good
Tailor,1.67,53.7,0.86,29.4,Cotton,229,3,83.76,Staggered,1,1,0,30.36,69.64,Poor
Factory,249.88,56.63,0.63,19.97,Denim,130,7,88.63,Grid,396,2,701,20.58,79.42,Moderate
Tailor,8.43,64.5,1.94,22.75,Polyester,267,10,81.41,Staggered,4,2,6,29.95,70.05,Moderate
Tailor,8.6,47.95,1.65,22.0,Denim,283,7,72.85,Rotated,5,2,7,34.62,65.38,Poor
Factory,296.46,49.46,0.66,27.94,Silk,135,6,72.67,Rotated,449,1,326,37.49,62.51,Poor
Factory,147.02,65.68,0.79,16.76,Silk,111,10,90.94,Rotated,186,3,507,20.34,79.66,Moderate
Factory,346.31,70.42,0.7,19.98,Cotton,241,6,90.97,Staggered,494,3,1348,16.62,83.38,Good
Tailor,7.23,42.25,1.72,12.07,Denim,229,6,80.47,Rotated,4,3,9,30.77,69.23,Poor
Factory,229.04,48.34,0.94,26.1,Polyester,205,9,87.5,Rotated,243,1,212,23.83,76.17,Moderate
Factory,370.34,69.68,1.45,14.02,Denim,275,5,93.03,Grid,255,4,948,15.76,84.24,Good
Tailor,5.54,61.0,0.98,12.31,Denim,243,7,84.57,Rotated,5,4,16,27.23,72.77,Moderate
Factory,444.86,51.21,0.52,12.13,Silk,137,0,86.76,Grid,855,4,2967,18.81,81.19,Good
Factory,357.53,41.27,0.59,25.69,Polyester,292,8,70.81,Staggered,605,1,428,38.0,62.0,Poor
Tailor,7.68,56.21,0.86,25.69,Denim,277,10,71.17,Staggered,8,2,11,38.0,62.0,Poor
Factory,484.62,37.94,1.62,14.06,Silk,157,10,87.62,Rotated,299,2,523,23.56,76.44,Moderate
Tailor,7.99,70.71,0.94,13.55,Cotton,147,2,88.38,Grid,8,5,35,14.91,85.09,Good
Factory,108.53,57.02,0.88,16.61,Polyester,110,2,93.22,Rotated,123,3,343,10.93,89.07,Good
Factory,270.75,56.62,1.04,25.68,Denim,234,3,93.92,Rotated,260,2,488,9.94,90.06,Excellent
Factory,294.39,50.52,1.02,27.67,Denim,184,5,77.34,Rotated,288,1,222,34.81,65.19,Poor
Tailor,2.03,48.46,0.86,22.85,Polyester,110,10,92.14,Staggered,2,2,3,21.96,78.04,Moderate
Factory,165.47,62.06,0.54,20.34,Denim,231,8,81.14,Grid,306,3,744,25.87,74.13,Moderate
Factory,281.25,70.14,0.75,29.13,Cotton,260,1,75.27,Rotated,375,2,564,29.39,70.61,Moderate
Factory,426.05,43.4,1.74,27.57,Silk,265,1,88.67,Grid,244,1,216,21.21,78.79,Moderate
Tailor,1.79,37.95,1.69,21.16,Polyester,166,6,79.7,Rotated,1,1,0,31.97,68.03,Poor
Factory,352.98,55.25,1.46,22.37,Cotton,279,1,78.94,Rotated,241,2,380,25.42,74.58,Moderate
Factory,322.95,46.13,1.89,17.63,Cotton,221,2,83.34,Grid,170,2,283,24.06,75.94,Moderate
Factory,482.06,41.19,1.52,28.28,Denim,102,8,91.87,Grid,317,1,291,17.67,82.33,Good
Factory,291.72,70.09,0.96,24.97,Denim,154,6,92.64,Rotated,303,2,561,14.61,85.39,Good
Factory,137.45,42.53,1.7,27.05,Silk,265,8,71.83,Rotated,80,1,57,38.0,62.0,Poor
Factory,478.19,48.86,1.51,14.69,Denim,258,1,92.5,Staggered,316,3,876,12.01,87.99,Good
Factory,362.06,41.49,1.35,26.15,Silk,143,0,77.83,Grid,268,1,208,28.72,71.28,Moderate
Factory,428.05,40.84,1.6,27.56,Silk,214,5,89.37,Staggered,267,1,238,18.19,81.81,Good
Tailor,8.58,66.91,0.71,20.77,Denim,287,10,71.91,Grid,12,3,25,38.0,62.0,Poor
Tailor,8.31,56.84,1.65,14.26,Cotton,241,4,83.59,Rotated,5,3,12,23.45,76.55,Moderate
Factory,226.62,68.09,1.38,27.14,Polyester,218,8,82.76,Staggered,164,2,271,24.92,75.08,Moderate
Tailor,8.63,65.04,1.42,13.32,Polyester,214,2,74.48,Rotated,6,4,17,32.39,67.61,Poor
Factory,472.63,37.46,1.64,14.63,Denim,194,3,71.07,Grid,288,2,409,37.9,62.1,Poor
Factory,261.35,52.37,0.57,29.61,Denim,126,8,85.84,Staggered,458,1,393,26.58,73.42,Moderate
Tailor,4.39,49.63,1.38,27.96,Cotton,232,4,79.41,Grid,3,1,2,33.08,66.92,Poor
Factory,269.09,53.36,1.41,20.04,Polyester,212,2,75.75,Rotated,190,2,287,27.98,72.02,Moderate
Tailor,2.42,57.67,1.73,23.22,Silk,184,1,82.04,Staggered,1,2,1,28.99,71.01,Moderate
Factory,60.1,37.55,1.36,13.22,Cotton,246,2,71.4,Staggered,44,2,62,35.24,64.76,Poor
Factory,319.71,56.29,0.53,24.39,Denim,121,3,81.23,Staggered,603,2,979,24.47,75.53,Moderate
Factory,320.38,64.61,1.73,13.64,Denim,142,10,78.57,Staggered,185,4,581,30.11,69.89,Poor
Factory,223.46,39.91,0.8,27.19,Silk,138,9,72.41,Staggered,279,1,202,38.0,62.0,Poor
Tailor,1.84,59.74,1.85,20.79,Cotton,298,10,86.23,Rotated,0,2,0,34.6,65.4,Poor
Factory,153.27,64.88,1.68,17.62,Cotton,208,2,76.36,Grid,91,3,208,28.32,71.68,Moderate
Factory,166.01,36.2,1.62,10.14,Cotton,233,0,79.38,Grid,102,3,242,24.91,75.09,Moderate
Factory,97.96,51.34,1.38,15.23,Silk,244,5,85.3,Rotated,70,3,179,22.04,77.96,Moderate
Factory,130.42,56.13,1.23,29.77,Denim,298,6,88.39,Rotated,106,1,93,22.34,77.66,Moderate
Tailor,1.9,54.3,1.68,26.02,Cotton,141,6,94.11,Grid,1,2,1,17.57,82.43,Good
Factory,466.64,51.67,0.6,14.44,Cotton,255,0,88.11,Staggered,777,3,2053,15.92,84.08,Good
Tailor,9.51,65.53,1.46,18.78,Polyester,268,8,77.15,Grid,6,3,13,33.63,66.37,Poor
Tailor,6.54,60.26,1.04,23.1,Polyester,122,4,89.49,Staggered,6,2,10,16.61,83.39,Good
Tailor,5.66,62.53,0.6,11.8,Denim,285,8,92.88,Staggered,9,5,41,16.52,83.48,Good
Tailor,6.46,43.0,1.89,21.5,Denim,144,6,82.66,Rotated,3,2,4,23.73,76.27,Moderate
Tailor,8.23,70.44,1.81,26.26,Denim,277,7,94.15,Rotated,4,2,7,18.06,81.94,Good
Factory,482.56,52.52,1.19,21.74,Cotton,223,1,76.45,Staggered,405,2,619,29.76,70.24,Moderate
Tailor,8.2,50.85,1.03,20.71,Denim,163,4,72.33,Rotated,7,2,10,37.76,62.24,Poor
Tailor,5.29,48.73,1.84,15.38,Polyester,227,3,75.87,Grid,2,3,4,30.84,69.16,Poor
Tailor,8.51,66.11,1.03,25.58,Cotton,120,10,93.89,Staggered,8,2,15,18.39,81.61,Good
Tailor,8.63,49.36,0.97,27.96,Denim,225,2,94.61,Rotated,8,1,7,14.06,85.94,Good
Tailor,1.49,64.77,1.22,20.82,Denim,200,10,89.4,Staggered,1,3,2,28.02,71.98,Moderate
Factory,192.04,36.3,1.51,17.59,Cotton,183,5,85.32,Staggered,127,2,216,17.78,82.22,Good
Factory,262.11,58.07,1.05,19.98,Polyester,207,5,79.13,Staggered,249,2,394,27.1,72.9,Moderate
Tailor,9.81,60.7,1.72,24.42,Polyester,242,6,91.41,Grid,5,2,9,17.86,82.14,Good
Tailor,5.26,36.35,1.13,12.69,Denim,224,4,76.27,Rotated,4,2,6,29.36,70.64,Moderate
Tailor,1.54,65.3,1.21,22.6,Silk,290,5,76.49,Staggered,1,2,1,38.0,62.0,Poor
Factory,204.86,50.82,1.03,23.59,Polyester,247,9,86.25,Rotated,198,2,341,20.12,79.88,Moderate
Factory,196.29,54.38,1.66,18.94,Cotton,197,9,77.16,Rotated,118,2,182,35.0,65.0,Poor
Factory,239.82,58.04,1.11,28.14,Cotton,141,5,75.71,Staggered,216,2,327,30.14,69.86,Poor
Factory,172.06,52.02,1.79,17.26,Silk,205,2,74.6,Grid,96,3,214,31.2,68.8,Poor
Factory,473.2,61.23,0.62,13.34,Cotton,124,1,93.42,Staggered,763,4,2851,10.43,89.57,Good
Factory,285.79,71.86,0.66,22.36,Cotton,267,6,77.73,Grid,433,3,1009,29.17,70.83,Moderate
Tailor,2.18,66.19,0.54,23.27,Denim,221,7,94.37,Rotated,4,2,7,17.83,82.17,Good
Tailor,9.73,61.11,0.77,21.95,Silk,234,10,85.99,Staggered,12,2,20,28.47,71.53,Moderate
Tailor,8.24,51.91,1.05,15.2,Denim,102,0,83.08,Grid,7,3,17,20.84,79.16,Moderate
Tailor,7.19,53.71,1.63,15.99,Silk,174,9,75.78,Grid,4,3,9,36.62,63.38,Poor
Factory,227.64,41.88,1.61,17.79,Silk,156,4,71.98,Rotated,141,2,202,35.99,64.01,Poor
Factory,178.1,62.75,1.71,18.26,Cotton,146,2,77.24,Rotated,104,3,240,26.04,73.96,Moderate
Factory,134.51,36.7,0.57,20.7,Polyester,126,4,76.73,Rotated,235,1,180,29.18,70.82,Moderate
Tailor,2.36,53.77,1.01,16.23,Silk,195,7,87.42,Grid,2,3,5,27.32,72.68,Moderate
Tailor,1.5,63.92,0.61,19.4,Polyester,164,6,90.71,Grid,2,3,5,21.72,78.28,Moderate
Factory,397.05,51.95,1.61,10.67,Silk,288,1,83.03,Grid,246,4,817,25.91,74.09,Moderate
Factory,471.3,41.71,1.59,24.89,Cotton,164,7,85.96,Grid,296,1,254,22.07,77.93,Moderate
Tailor,9.76,44.49,1.15,10.3,Denim,249,1,79.9,Grid,8,4,25,23.56,76.44,Moderate
Factory,359.78,41.58,1.66,14.97,Silk,123,10,85.47,Rotated,216,2,369,24.74,75.26,Moderate
Tailor,7.31,64.49,0.69,14.65,Denim,212,3,70.53,Staggered,10,4,28,34.44,65.56,Poor
Tailor,5.37,51.75,0.94,23.94,Polyester,245,2,83.59,Staggered,5,2,8,20.81,79.19,Moderate
Tailor,1.62,41.58,0.94,15.27,Denim,216,0,89.4,Rotated,1,2,1,22.05,77.95,Moderate
Tailor,6.58,49.11,1.43,16.41,Cotton,268,8,90.48,Grid,4,2,7,21.1,78.9,Moderate
Tailor,6.52,47.61,1.46,12.21,Cotton,111,2,74.47,Grid,4,3,8,32.24,67.76,Poor
Tailor,1.29,59.1,1.08,19.8,Denim,112,5,75.52,Rotated,1,2,1,37.23,62.77,Poor
Tailor,6.9,69.42,1.75,19.36,Cotton,192,8,88.59,Staggered,3,3,7,23.94,76.06,Moderate
Tailor,8.41,45.57,0.56,11.41,Denim,119,3,94.01,Grid,15,3,42,13.39,86.61,Good
Factory,135.26,54.94,0.87,22.51,Polyester,242,8,80.38,Grid,155,2,249,28.49,71.51,Moderate
Factory,366.15,51.37,0.66,25.85,Silk,229,5,86.44,Rotated,554,1,478,23.99,76.01,Moderate
Factory,456.12,55.8,2.0,26.9,Silk,295,10,80.76,Rotated,228,2,368,29.64,70.36,Moderate
Tailor,4.38,55.81,1.62,17.2,Silk,214,6,70.0,Grid,2,3,4,38.0,62.0,Poor
Tailor,9.94,46.87,0.95,14.44,Denim,105,4,92.98,Rotated,10,3,27,12.55,87.45,Good
Tailor,1.85,52.57,0.73,15.3,Polyester,159,4,90.28,Grid,2,3,5,22.26,77.74,Moderate
Tailor,7.61,62.05,1.69,13.46,Cotton,252,10,77.51,Rotated,4,4,12,33.75,66.25,Poor
Tailor,9.3,48.04,1.82,18.69,Cotton,297,3,88.69,Rotated,5,2,8,20.16,79.84,Moderate
Factory,74.36,54.88,0.98,21.3,Denim,228,3,73.83,Rotated,75,2,110,32.85,67.15,Poor
Factory,388.78,56.71,0.64,18.64,Silk,137,2,78.4,Staggered,607,3,1427,27.17,72.83,Moderate
Factory,168.15,50.35,1.15,23.96,Polyester,223,8,74.95,Staggered,146,2,218,33.54,66.46,Poor
Tailor,3.18,45.59,1.15,23.69,Cotton,128,10,80.34,Staggered,2,1,1,36.1,63.9,Poor
Tailor,7.93,42.09,1.02,26.43,Silk,259,2,81.01,Grid,7,1,5,29.91,70.09,Moderate
Tailor,2.01,37.96,1.92,28.53,Denim,103,5,87.34,Grid,1,1,0,24.74,75.26,Moderate
Factory,144.05,55.37,0.81,20.47,Denim,240,7,85.58,Grid,177,2,302,27.28,72.72,Moderate
Factory,312.35,59.89,0.57,13.41,Denim,151,9,76.78,Staggered,547,4,1679,30.56,69.44,Poor
Factory,347.17,59.87,1.87,17.2,Cotton,104,4,91.69,Rotated,185,3,508,14.89,85.11,Good
Tailor,9.13,53.45,1.4,11.76,Polyester,228,7,84.02,Rotated,6,4,20,23.31,76.69,Moderate
Factory,200.11,50.16,0.74,16.94,Denim,190,10,77.56,Rotated,270,2,418,30.93,69.07,Poor
Factory,445.4,68.05,1.72,10.59,Denim,157,2,78.54,Staggered,258,6,1215,23.75,76.25,Moderate
Factory,284.32,60.41,1.81,23.73,Silk,161,9,73.82,Staggered,157,2,231,35.41,64.59,Poor
Tailor,2.86,40.99,1.31,26.0,Polyester,179,8,92.74,Staggered,2,1,1,22.64,77.36,Moderate
Tailor,6.91,56.33,0.74,11.36,Cotton,147,5,90.99,Grid,9,4,32,18.62,81.38,Good
Factory,482.54,46.92,1.62,26.43,Denim,138,3,72.67,Grid,297,1,215,38.0,62.0,Poor
Factory,322.52,58.05,1.39,14.62,Cotton,191,1,87.2,Staggered,232,3,606,18.43,81.57,Good
Factory,370.41,49.46,1.78,19.83,Polyester,141,3,75.66,Staggered,208,2,314,30.98,69.02,Poor
Factory,477.59,44.01,1.51,14.06,Polyester,116,2,93.18,Staggered,316,3,883,8.51,91.49,Excellent
Factory,440.05,67.95,1.14,25.52,Silk,284,5,79.85,Rotated,386,2,616,27.73,72.27,Moderate
Tailor,5.69,52.26,1.74,10.85,Polyester,232,8,79.89,Rotated,3,4,9,27.56,72.44,Moderate
Tailor,2.71,51.82,1.83,25.47,Denim,218,2,80.56,Rotated,1,2,1,29.98,70.02,Moderate
Tailor,5.17,59.26,0.64,20.01,Polyester,299,9,93.45,Rotated,8,2,14,17.99,82.01,Good
Factory,252.9,42.44,1.39,24.25,Polyester,216,1,76.25,Rotated,181,1,138,28.57,71.43,Moderate
Tailor,7.47,40.45,0.67,18.99,Denim,121,8,87.68,Rotated,11,2,19,20.47,79.53,Moderate
Tailor,4.41,49.7,1.65,28.25,Polyester,141,2,74.47,Rotated,2,1,1,35.08,64.92,Poor
Factory,179.95,42.51,1.85,29.21,Cotton,259,4,70.31,Staggered,97,1,68,38.0,62.0,Poor
Tailor,6.47,53.76,0.83,23.19,Silk,204,7,71.99,Rotated,7,2,10,37.2,62.8,Poor
Factory,328.89,56.07,1.74,10.98,Polyester,114,10,78.73,Grid,189,5,743,29.92,70.08,Moderate
Factory,199.0,39.16,0.66,29.87,Polyester,272,4,85.28,Rotated,301,1,256,21.5,78.5,Moderate
Tailor,9.7,62.98,1.04,10.72,Denim,182,5,92.44,Grid,9,5,41,15.64,84.36,Good
Tailor,3.64,40.84,1.54,15.49,Silk,234,3,87.4,Rotated,2,2,3,23.4,76.6,Moderate
Tailor,5.35,60.79,1.9,29.73,Denim,209,9,91.19,Staggered,2,2,3,22.08,77.92,Moderate
Factory,467.2,58.11,1.24,24.58,Silk,226,2,92.09,Grid,376,2,692,14.66,85.34,Good
Tailor,2.06,52.74,1.7,24.75,Polyester,257,6,80.35,Staggered,1,2,1,31.15,68.85,Poor
Tailor,1.1,43.24,0.92,25.8,Denim,176,8,83.75,Grid,1,1,0,30.48,69.52,Poor
Factory,375.98,58.18,0.54,13.51,Denim,186,10,81.98,Staggered,696,4,2282,27.36,72.64,Moderate
Factory,119.92,52.58,1.8,27.92,Silk,300,6,93.19,Grid,66,1,61,20.63,79.37,Moderate
Factory,299.83,36.67,1.37,16.63,Denim,116,2,77.01,Grid,218,2,335,26.65,73.35,Moderate
Tailor,6.14,50.02,1.39,27.29,Denim,280,5,87.75,Staggered,4,1,3,23.68,76.32,Moderate
Tailor,4.34,65.86,0.95,20.5,Polyester,128,5,89.62,Grid,4,3,10,19.18,80.82,Good
Tailor,8.19,68.58,0.73,16.8,Silk,287,8,77.76,Staggered,11,4,34,33.19,66.81,Poor
Tailor,2.85,37.32,1.08,27.3,Cotton,101,4,93.31,Rotated,2,1,1,19.1,80.9,Good
Factory,260.09,37.66,1.28,23.18,Denim,105,9,88.96,Rotated,203,1,180,22.93,77.07,Moderate
Tailor,3.58,55.16,1.66,23.42,Denim,138,2,76.84,Grid,2,2,3,32.92,67.08,Poor
Tailor,2.86,48.61,0.98,12.83,Denim,246,3,74.28,Staggered,2,3,4,37.79,62.21,Poor
Factory,72.83,37.04,1.85,11.01,Silk,113,1,80.66,Grid,39,3,94,25.49,74.51,Moderate
Factory,327.34,47.25,1.73,24.26,Cotton,293,7,84.19,Grid,189,1,159,31.48,68.52,Poor
Factory,93.77,47.17,1.47,25.33,Silk,159,3,73.59,Rotated,63,1,46,36.61,63.39,Poor
Tailor,7.3,59.95,1.68,27.65,Silk,224,0,71.63,Grid,4,2,5,32.91,67.09,Poor
Tailor,3.54,48.55,1.36,20.16,Silk,282,1,78.15,Rotated,2,2,3,31.51,68.49,Poor
Factory,230.37,50.88,1.43,20.96,Silk,198,1,78.52,Rotated,161,2,252,26.7,73.3,Moderate
Factory,305.25,48.32,1.54,13.46,Cotton,289,9,90.92,Grid,198,3,540,17.27,82.73,Good
Tailor,8.4,42.34,1.93,11.39,Cotton,275,9,89.28,Staggered,4,3,10,19.67,80.33,Good
Tailor,1.81,65.41,1.83,28.07,Cotton,293,2,86.52,Staggered,0,2,0,29.1,70.9,Moderate
Factory,138.05,60.53,0.97,21.41,Denim,211,5,94.76,Rotated,142,2,269,15.42,84.58,Good
Factory,431.44,66.69,0.59,28.02,Cotton,100,8,90.52,Staggered,731,2,1323,16.1,83.9,Good
Tailor,3.12,61.28,1.09,16.36,Silk,203,6,80.88,Grid,2,3,4,34.72,65.28,Poor
Tailor,6.0,66.36,1.04,18.34,Denim,271,2,73.36,Grid,5,3,11,34.37,65.63,Poor
Factory,346.07,71.1,0.7,12.74,Silk,216,9,93.26,Rotated,494,5,2303,18.28,81.72,Good
Factory,223.12,44.13,1.14,10.15,Silk,287,3,87.8,Staggered,195,4,684,19.94,80.06,Good
Factory,65.06,37.36,1.22,17.37,Silk,276,1,73.55,Rotated,53,2,77,31.56,68.44,Poor
Factory,259.22,38.82,1.83,11.77,Silk,261,10,94.01,Grid,141,3,397,16.69,83.31,Good
Factory,325.87,68.53,1.3,10.22,Silk,231,7,84.35,Staggered,250,6,1265,22.9,77.1,Moderate
Factory,180.14,37.27,1.88,24.99,Denim,115,10,81.83,Grid,95,1,77,31.88,68.12,Poor
Factory,414.0,58.48,0.93,11.65,Cotton,300,4,76.3,Rotated,445,5,1697,27.94,72.06,Moderate
Tailor,7.67,57.74,1.87,24.78,Silk,194,2,76.53,Rotated,4,2,6,26.77,73.23,Moderate
Tailor,4.09,39.04,0.72,28.68,Polyester,226,6,89.26,Grid,5,1,4,23.26,76.74,Moderate
Tailor,2.9,62.44,1.02,22.85,Cotton,113,2,81.6,Staggered,2,2,3,28.56,71.44,Moderate
Tailor,4.42,61.4,1.21,12.9,Silk,103,4,93.18,Staggered,3,4,11,19.52,80.48,Good
Tailor,1.88,55.13,1.03,26.88,Denim,185,4,76.68,Grid,1,2,1,37.55,62.45,Poor
Factory,397.92,62.97,1.6,21.77,Polyester,233,5,86.94,Grid,248,2,431,20.42,79.58,Moderate
Tailor,8.49,36.43,0.65,12.08,Silk,189,3,88.13,Staggered,13,3,34,16.98,83.02,Good
Tailor,1.51,57.39,1.84,14.34,Cotton,281,1,72.16,Rotated,0,4,0,38.0,62.0,Poor
Tailor,9.06,61.04,0.88,19.34,Cotton,263,7,93.07,Staggered,10,3,27,14.16,85.84,Good
